;59378;735;2259391.000;12496.0;2002
;59512;225;2060914.000;10456.0;2002
;59599;194;1409859.000;4730.0;2002
;59122;138;1582985.000;6539.0;2002
;59392;67;1460398.000;5439.0;2002
;59606;225;1420196.000;4927.0;2002
;60057;193;1737884.000;7807.0;2002
;60159;308;1717891.000;7274.0;2002
;61001;82;1504086.000;5573.0;2002
;62041;207;1606495.000;6451.0;2002
;62119;111;1498466.000;5902.0;2002
;62160;118;1460744.000;5330.0;2002
;62193;136;1456636.000;5181.0;2002
;62498;77;1577087.000;6192.0;2002
;63113;474;1560536.000;6883.0;2002
;64024;216;1597729.000;7092.0;2002
;64102;177;1509944.000;5624.0;2002
;64122;369;1340978.000;4225.0;2002
;64445;483;1381858.000;4740.0;2002
;65440;108;1330076.000;4005.0;2002
;66136;433;1389874.000;4530.0;2002
;67180;116;1363736.000;4622.0;2002
;67218;98;1334070.000;4053.0;2002
;67447;74;1581741.000;6325.0;2002
;67482;1.59;2012542.000;10976.0;2002
;68066;237;1520751.000;5520.0;2002
;68224;378;1615023.000;6646.0;2002
;69029;169;1362754.000;4272.0;2002
;69034;490;1697124.000;8894.0;2002
;69123;4.001;1679167.000;7501.0;2002
;69149;65;1374815.000;5194.0;2002
;69202;335;1634099.000;7586.0;2002
;69264;101;1497381.000;5418.0;2002
;69266;260;1375289.000;4857.0;2002
;69282;72;1448944.000;4753.0;2002
;69286;70;1684593.000;7375.0;2002
;69290;69;2091358.000;12361.0;2002
;70550;52;1464305.000;5488.0;2002
;71076;166;1497283.000;5688.0;2002
;71153;57;1238705.000;3364.0;2002
;71270;127;1547495.000;7050.0;2002
;72181;591;1587063.000;6761.0;2002
;73008;156;1415002.000;4989.0;2002
;73065;304;1617411.000;7653.0;2002
;74010;449;1505194.000;5595.0;2002
;74012;108;1210392.000;2967.0;2002
;74281;182;2700078.000;15972.0;2002
;75101;567;2144359.000;12892.0;2002
;75102;255;1489245.000;5472.0;2002
;75103;708;1853985.000;9326.0;2002
;75104;1.038;2278810.000;14659.0;2002
;75105;2.034;1835058.000;9139.0;2002
;75106;3.392;2351400.000;14623.0;2002
;75107;5.303;2928388.000;20743.0;2002
;75108;2.819;2947064.000;22150.0;2002
;75109;1.218;1684503.000;7716.0;2002
;75110;599;1517387.000;6196.0;2002
;75111;1.438;1590332.000;6735.0;2002
;75112;1.857;1560963.000;6128.0;2002
;75113;1.666;1499252.000;5863.0;2002
;75114;2.575;1663426.000;7360.0;2002
;75115;5.975;1639736.000;7119.0;2002
;75116;14.436;2699861.000;18751.0;2002
;75117;5.451;2015549.000;10867.0;2002
;75118;1.124;1658769.000;7276.0;2002
;75119;915;1495472.000;5734.0;2002
;75120;892;1346187.000;4271.0;2002
;76217;103;1524165.000;6104.0;2002
;76259;71;1468062.000;5069.0;2002
;76351;415;1596384.000;7416.0;2002
;76451;286;1785917.000;8096.0;2002
;76540;528;1593269.000;6632.0;2002
;77108;137;1273306.000;3568.0;2002
;77152;56;1295107.000;4023.0;2002
;77284;162;1430323.000;4938.0;2002
;77288;151;1562170.000;6506.0;2002
;77350;70;1510302.000;5429.0;2002
